Timestamp,tech_id,Form Factor
04/28/22 3:06 PM,CesarP,Desktop
04/28/22 3:09 PM,JenniferR,Space-saving
04/28/22 3:12 PM,JeannetteF,Notebook
04/28/22 3:13 PM,CesarP,Desktop
04/28/22 3:16 PM,JenniferR,Mini Tower
04/28/22 3:18 PM,CesarP,Desktop
04/28/22 3:18 PM,KristianV,Notebook
04/28/22 3:22 PM,CesarP,Desktop
04/28/22 3:26 PM,JeannetteF,Notebook
04/28/22 3:32 PM,KristianV,Notebook
04/28/22 3:33 PM,JenniferR,Mini Tower
04/28/22 3:38 PM,JenniferR,Mini Tower
04/28/22 3:39 PM,CesarP,Desktop
04/28/22 3:47 PM,KristianV,Notebook
04/28/22 3:54 PM,CesarP,Lunch Box
04/28/22 3:59 PM,KristianV,Notebook
04/28/22 4:00 PM,JeannetteF,Laptop
04/28/22 4:03 PM,CesarP,Lunch Box
04/28/22 4:27 PM,KristianV,Notebook
04/28/22 4:30 PM,CesarP,Lunch Box
04/28/22 4:57 PM,CesarP,Space-saving
04/29/22 9:35 AM,CesarP,Space-saving
04/29/22 9:48 AM,CesarP,Space-saving
04/29/22 10:17 AM,CesarP,Space-saving
04/29/22 10:26 AM,CesarP,Space-saving
04/29/22 10:32 AM,CesarP,Desktop
04/29/22 12:11 PM,CesarP,Desktop
04/29/22 12:15 PM,JenniferR,Laptop
04/29/22 12:25 PM,CesarP,Desktop
04/29/22 12:33 PM,JeannetteF,Laptop
04/29/22 12:43 PM,CesarP,Lunch Box
04/29/22 2:17 PM,CesarP,Desktop
04/29/22 2:25 PM,CesarP,Mini Tower
04/29/22 2:39 PM,CesarP,Tower
04/29/22 5:07 PM,CesarP,Desktop
05/02/22 9:12 AM,JeannetteF,Laptop
05/02/22 9:17 AM,JeannetteF,Notebook
05/02/22 9:52 AM,JeannetteF,Notebook
05/02/22 10:12 AM,JeannetteF,Notebook
05/02/22 10:13 AM,KristianV,Notebook
05/02/22 10:29 AM,KristianV,Notebook
05/02/22 10:40 AM,KristianV,Notebook
05/02/22 11:37 AM,JenniferR,Desktop
05/02/22 11:43 AM,JenniferR,Desktop
05/02/22 11:52 AM,KristianV,Notebook
05/02/22 12:11 PM,JenniferR,Desktop
05/02/22 12:16 PM,JenniferR,Desktop
05/02/22 12:21 PM,JenniferR,Desktop
05/02/22 12:27 PM,JenniferR,Desktop
05/02/22 12:31 PM,KristianV,Notebook
05/02/22 12:32 PM,JenniferR,Desktop
05/02/22 12:42 PM,KristianV,Notebook
05/02/22 12:46 PM,JeannetteF,Notebook
05/02/22 12:46 PM,JenniferR,Desktop
05/02/22 12:53 PM,JenniferR,Desktop
05/02/22 12:58 PM,JenniferR,Desktop
05/02/22 1:02 PM,JenniferR,Desktop
05/02/22 2:01 PM,JenniferR,Desktop
05/02/22 2:08 PM,JenniferR,Low Profile Desktop
05/02/22 2:12 PM,JenniferR,Low Profile Desktop
05/02/22 2:15 PM,JenniferR,Low Profile Desktop
05/02/22 2:36 PM,JeannetteF,Notebook
05/02/22 2:41 PM,JenniferR,Low Profile Desktop
05/02/22 2:45 PM,JenniferR,Low Profile Desktop
05/02/22 2:48 PM,JenniferR,Low Profile Desktop
05/02/22 2:54 PM,JeannetteF,Notebook
05/02/22 2:59 PM,JenniferR,Low Profile Desktop
05/02/22 3:04 PM,JenniferR,Low Profile Desktop
05/02/22 3:12 PM,JenniferR,Low Profile Desktop
05/02/22 3:13 PM,KristianV,Lunch Box
05/02/22 3:17 PM,JenniferR,Desktop
05/02/22 3:22 PM,JenniferR,Desktop
05/02/22 3:26 PM,JenniferR,Desktop
05/02/22 3:32 PM,JenniferR,Desktop
05/02/22 3:35 PM,JenniferR,Lunch Box
05/02/22 3:37 PM,JenniferR,Desktop
05/02/22 3:47 PM,KristianV,Notebook
05/02/22 4:34 PM,KristianV,Lunch Box
05/02/22 4:42 PM,KristianV,Lunch Box
05/02/22 4:53 PM,KristianV,Notebook
05/03/22 9:09 AM,KristianV,Notebook
05/03/22 9:18 AM,KristianV,Notebook
05/03/22 9:50 AM,CesarP,Mini Tower
05/03/22 9:51 AM,KristianV,Notebook
05/03/22 10:02 AM,CesarP,Desktop
05/03/22 10:04 AM,KristianV,Notebook
05/03/22 10:08 AM,CesarP,Mini Tower
05/03/22 10:13 AM,KristianV,Notebook
05/03/22 10:24 AM,CesarP,Mini Tower
05/03/22 10:25 AM,KristianV,Laptop
05/03/22 10:35 AM,CesarP,Mini Tower
05/03/22 10:40 AM,JeannetteF,Mini Tower
05/03/22 10:45 AM,CesarP,Mini Tower
05/03/22 10:47 AM,JeannetteF,Mini Tower
05/03/22 10:51 AM,KristianV,Laptop
05/03/22 11:04 AM,JeannetteF,Mini Tower
05/03/22 11:19 AM,JeannetteF,Mini Tower
05/03/22 11:24 AM,CesarP,Mini Tower
05/03/22 11:30 AM,JeannetteF,Mini Tower
05/03/22 11:36 AM,JeannetteF,Mini Tower
05/03/22 11:44 AM,CesarP,Mini Tower
05/03/22 11:51 AM,KristianV,Desktop
05/03/22 11:53 AM,CesarP,Desktop
05/03/22 11:57 AM,JeannetteF,Mini Tower
05/03/22 12:00 PM,CesarP,Desktop
05/03/22 12:16 PM,JeannetteF,Mini Tower
05/03/22 12:18 PM,KristianV,Desktop
05/03/22 12:20 PM,CesarP,Tower
05/03/22 12:39 PM,JeannetteF,Mini Tower
05/03/22 12:49 PM,JeannetteF,Mini Tower
05/03/22 12:50 PM,KristianV,Desktop
